date,amount,price,sid,symbol,value
2019-01-06 13:35:00+00:00,-0.23635793225887122,3807.7841999999996,0,,900.0000000000001
2019-01-06 17:15:00+00:00,0.23635793225887122,3845.6725999999994,0,,-908.955223880597
2019-01-07 01:23:00+00:00,0.2241585819942876,3973.6121,0,,-890.7192537313433
2019-01-07 13:25:00+00:00,-0.2241585819942876,3971.57,0,,890.2614994910529
2019-01-09 12:36:00+00:00,-0.22345243407921728,3978.94575,0,,889.1051129066567
2019-01-10 00:38:00+00:00,0.22345243407921728,3977.81,0,,-888.8513268046513
2019-01-11 00:59:00+00:00,0.2482986443690857,3576.8757499999997,0,,-888.1333998016565
2019-01-11 13:01:00+00:00,-0.2482986443690857,3586.03,0,,890.4063876668724
2019-01-21 10:38:00+00:00,-0.2510938130486967,3540.4240499999996,0,,888.9785745238096
2019-01-21 22:40:00+00:00,0.2510938130486967,3506.98,0,,-880.5809804855184
2019-01-29 20:16:00+00:00,-0.2609107311589937,3431.60265,0,,895.3419564586403
2019-01-30 08:18:00+00:00,0.2609107311589937,3426.33,0,,-893.9662654919949
2019-01-30 12:22:00+00:00,-0.2596678237899496,3448.1449499999994,0,,895.3722952788045
2019-01-31 00:24:00+00:00,0.2596678237899496,3467.98,0,,-900.5228195470695
2019-02-03 03:10:00+00:00,0.2559528193833073,3475.34595,0,,-889.5245942348585
2019-02-03 15:12:00+00:00,-0.2559528193833073,3457.74,0,,885.0183016944368
2019-02-04 09:35:00+00:00,0.25663737190965824,3445.6054,0,,-884.2711144937267
2019-02-04 21:37:00+00:00,-0.25663737190965824,3473.82,0,,891.5120352872091
2019-02-26 00:11:00+00:00,0.23267774653852605,3823.2676,0,,-889.5892895817589
2019-02-26 12:13:00+00:00,-0.23267774653852605,3810.08,0,,886.5208285315073
2019-02-27 14:08:00+00:00,0.23263962265767046,3806.87,0,,-885.6288003068059
2019-02-28 02:10:00+00:00,-0.23263962265767046,3827.03,0,,890.3188150995846
2019-03-08 05:37:00+00:00,-0.22830207031695662,3892.4353499999997,0,,888.6510489799076
2019-03-08 17:39:00+00:00,0.22830207031695662,3913.39,0,,-893.4350389576748
2019-03-10 13:58:00+00:00,0.22700557606908423,3890.4002499999997,0,,-883.1425498905592
2019-03-11 02:00:00+00:00,-0.22700557606908423,3926.52,0,,891.3419345467806
2019-04-10 12:41:00+00:00,-0.1701151185946137,5227.77885,0,,889.3242190541632
2019-04-10 18:04:00+00:00,0.1701151185946137,5279.79655,0,,-898.1732162586823
2019-04-11 07:15:00+00:00,0.17046621091204392,5163.214199999999,0,,-880.15356080126
2019-04-11 19:17:00+00:00,-0.17046621091204392,5028.27,0,,857.1501343427032
2019-04-15 22:26:00+00:00,-0.17029067960185845,5040.075,0,,858.2777969943367
2019-04-16 10:28:00+00:00,0.17029067960185845,5054.19,0,,-860.6814499369169
2019-04-20 15:31:00+00:00,-0.16101966575486723,5309.62605,0,,854.9542118543359
2019-04-21 03:33:00+00:00,0.16101966575486723,5308.33,0,,-854.7455223165343
2019-05-05 09:58:00+00:00,0.14830752597611466,5758.2242,0,,-853.9879851177919
2019-05-05 22:00:00+00:00,-0.14830752597611466,5800.8,0,,860.3022966822459
2019-05-09 08:31:00+00:00,-0.14004641319838712,6130.208549999999,0,,858.5137195855855
2019-05-09 20:33:00+00:00,0.14004641319838712,6143.28,0,,-860.3443292733876
2019-05-10 02:10:00+00:00,-0.13733132120088204,6230.9598,0,,855.7059416835837
2019-05-10 02:42:00+00:00,0.13733132120088204,6292.9594,0,,-864.2204286655099
2019-05-11 13:48:00+00:00,-0.12442669744590425,6806.27205,0,,846.8819530998644
2019-05-11 15:29:00+00:00,0.12442669744590425,6873.99615,0,,-855.3086392003606
2019-05-17 09:02:00+00:00,0.11514267212928625,7279.2210000000005,0,,-838.1489569596152
2019-05-17 21:04:00+00:00,-0.11514267212928625,7197.2,0,,828.7048398488989
2019-05-26 05:27:00+00:00,0.10402093230011707,7964.975,0,,-828.524125247125
2019-05-26 17:29:00+00:00,-0.10402093230011707,7985.55,0,,830.6643559291998
2019-05-30 08:27:00+00:00,0.09561510091360882,8673.633899999999,0,,-829.3303806361984
2019-05-30 20:29:00+00:00,-0.09561510091360882,8456.46,0,,808.5652762718963
2019-06-10 06:09:00+00:00,-0.1054849852572483,7674.421199999999,0,,809.5362071399137
2019-06-10 11:27:00+00:00,0.1054849852572483,7750.783599999999,0,,-817.5912937781218
2019-06-12 10:00:00+00:00,-0.10097815100693608,7934.273999999999,0,,801.1883181024067
2019-06-12 12:18:00+00:00,0.10097815100693608,8013.222,0,,-809.1603411681023
2019-06-15 08:02:00+00:00,-0.09145852554504073,8669.7933,0,,792.926511998273
2019-06-15 15:35:00+00:00,0.09145852554504073,8756.0599,0,,-800.8163280380568
2019-06-19 16:48:00+00:00,-0.08593858004725194,9131.52045,0,,784.749901145443
2019-06-19 22:00:00+00:00,0.08593858004725194,9222.38135,0,,-792.5583578732584
2019-06-27 22:05:00+00:00,0.07079469938487987,10970.56155,0,,-776.6576070155718
2019-06-27 23:11:00+00:00,-0.07079469938487987,11521.84605,0,,815.6856274686155
2019-06-29 15:20:00+00:00,0.06741947655708823,12024.833700000001,0,,-810.7079937400346
