date,amount,price,sid,symbol,value
2018-01-01 17:47:00+00:00,-0.06866665706096432,13106.797949999998,0,,900.0000000000001
2018-01-01 18:25:00+00:00,0.06866665706096432,13237.213849999998,0,,-908.9552238805971
2018-01-04 11:31:00+00:00,-0.061703523453861174,14435.468249999998,0,,890.7192537313432
2018-01-04 12:01:00+00:00,0.061703523453861174,14579.104749999999,0,,-899.5821318779238
2018-01-08 16:07:00+00:00,0.06075095827999976,14510.6223,0,,-881.5342099641342
2018-01-08 19:58:00+00:00,-0.06075095827999976,15239.7993,0,,925.8324114698696
2018-01-10 03:56:00+00:00,-0.06513735945102173,14126.802599999999,0,,920.1826188498283
2018-01-10 04:41:00+00:00,0.06513735945102173,14267.3678,0,,-929.338664808533
2018-01-10 13:20:00+00:00,-0.06598664600093941,13801.182599999998,0,,910.6937506205245
2018-01-10 13:29:00+00:00,0.06598664600093941,13938.507799999998,0,,-919.7553799799326
2018-01-25 06:50:00+00:00,0.07820032412421254,11525.5626,0,,-901.3027310339018
2018-01-25 18:52:00+00:00,-0.07820032412421254,11226.0,0,,877.87683861841
2018-01-30 12:54:00+00:00,0.08011568513196653,10971.865,0,,-879.0184816504438
2018-01-31 00:56:00+00:00,-0.08011568513196653,9887.86,0,,792.1726783889666
2018-02-04 05:09:00+00:00,-0.08739708428555605,9150.525,0,,799.7292046820877
2018-02-04 05:59:00+00:00,0.08739708428555605,9241.574999999999,0,,-807.6867092062876
2018-02-05 06:53:00+00:00,0.09775847624076779,8096.30505,0,,-791.4824448684333
2018-02-05 15:03:00+00:00,-0.09775847624076779,7282.60605,0,,711.9364705097968
2018-02-10 20:42:00+00:00,0.08644618699903939,8315.88165,0,,-718.8762601777802
2018-02-11 09:18:00+00:00,-0.08644618699903939,7837.46,0,,677.5185327574912
2018-02-13 11:20:00+00:00,0.08010486566524354,8497.757699999998,0,,-680.7117390142888
2018-02-13 23:22:00+00:00,-0.08010486566524354,8531.03,0,,683.3770121361626
2018-02-16 21:02:00+00:00,-0.06788351186228987,10049.417099999999,0,,682.1897249169486
2018-02-16 22:31:00+00:00,0.06788351186228987,10149.411299999998,0,,-688.9776823788087
2018-02-26 03:40:00+00:00,-0.07012675134987668,9627.6387,0,,675.15502520135
2018-02-26 11:22:00+00:00,0.07012675134987668,9723.436099999999,0,,-681.8729856511146
2018-03-01 17:32:00+00:00,0.06238277937660773,10711.175,0,,-668.1928668892363
2018-03-02 05:34:00+00:00,-0.06238277937660773,10972.46,0,,684.4925513986532
2018-03-08 23:15:00+00:00,-0.07312041679003217,9326.389949999999,0,,681.9495202903672
2018-03-09 02:12:00+00:00,0.07312041679003217,8862.390449999999,0,,-648.0216834600008
2018-03-15 00:21:00+00:00,0.0871813613480592,8162.1442,0,,-711.5868428751656
2018-03-15 12:23:00+00:00,-0.0871813613480592,8172.12,0,,712.4565466997016
2018-03-20 10:09:00+00:00,-0.08376949681891424,8492.451,0,,711.408347029285
2018-03-20 12:53:00+00:00,0.08376949681891424,8576.953,0,,-718.487037049477
2018-03-22 17:25:00+00:00,-0.08179445407252811,8607.824999999999,0,,704.0723466268591
2018-03-22 17:54:00+00:00,0.08179445407252811,8693.474999999999,0,,-711.0780416181713
2018-03-27 08:32:00+00:00,0.08781361284448738,7935.125,0,,-696.8119946226129
2018-03-27 20:34:00+00:00,-0.08781361284448738,7887.99,0,,692.672899981188
2018-04-06 13:48:00+00:00,-0.10485562561037491,6600.970649999999,0,,692.148907141473
2018-04-07 01:00:00+00:00,0.10485562561037491,6666.6519499999995,0,,-699.0359609438758
2018-04-09 06:13:00+00:00,0.09662509162420563,7089.375,0,,-685.0115089333527
2018-04-09 18:15:00+00:00,-0.09662509162420563,6766.0,0,,653.7653699293753
2018-04-11 03:16:00+00:00,0.0961193647837585,6824.705,0,,-655.9863094365405
2018-04-11 15:18:00+00:00,-0.0961193647837585,6927.52,0,,665.8688219267827
2018-04-14 14:54:00+00:00,-0.08346818345406212,7954.987049999999,0,,663.9883184640884
2018-04-14 18:57:00+00:00,0.08346818345406212,8034.141149999999,0,,-670.5951674040296
2018-04-15 08:43:00+00:00,-0.080725231181242,8140.4698499999995,0,,657.1413105651803
2018-04-15 11:04:00+00:00,0.080725231181242,8221.46955,0,,-663.6800300732916
2018-04-19 07:48:00+00:00,0.07987704665077353,8142.0750499999995,0,,-650.3649086029492
2018-04-19 19:50:00+00:00,-0.07987704665077353,8239.8,0,,658.1708889930436
2018-04-22 01:34:00+00:00,-0.07427411315120329,8838.974999999999,0,,656.507029290657
2018-04-22 08:08:00+00:00,0.07427411315120329,8926.925,0,,-663.0394375423053
2018-04-25 13:32:00+00:00,-0.07150816943445192,9086.19495,0,,649.7371679990613
2018-04-25 21:58:00+00:00,0.07150816943445192,9176.60485,0,,-656.2022144468132
2018-04-28 17:57:00+00:00,0.06916511495903545,9297.13075,0,,-643.0371171129335
2018-04-29 05:59:00+00:00,-0.06916511495903545,9415.75,0,,651.241431175538
2018-04-30 06:12:00+00:00,0.06981171259672997,9304.27485,0,,-649.5473617491829
2018-04-30 18:14:00+00:00,-0.06981171259672997,9340.0,0,,652.0413956534579
2018-05-14 19:03:00+00:00,-0.07423175648806657,8768.6652,0,,650.9134198517835
2018-05-14 20:39:00+00:00,0.07423175648806657,8855.9156,0,,-657.39017029807
2018-05-18 06:56:00+00:00,0.0807179194221669,7980.8949999999995,0,,-644.2012395267747
2018-05-18 18:58:00+00:00,-0.0807179194221669,8210.34,0,,662.7215625485937
