date,amount,price,sid,symbol,value
2017-10-03 01:41:00+00:00,0.20579595495702777,4373.2638,0,,-900.0
2017-10-03 13:43:00+00:00,-0.20579595495702777,4200.01,0,,864.3450687790662
2017-10-12 00:20:00+00:00,0.17997454622834602,4810.16,0,,-865.7063632857408
2017-10-12 08:02:00+00:00,-0.17997454622834602,5057.7895499999995,0,,910.2733791797203
2017-10-17 11:16:00+00:00,0.16087151363857888,5629.5309,0,,-905.6311569581512
2017-10-17 23:18:00+00:00,-0.16087151363857888,5599.97,0,,900.8756502306326
2017-10-29 11:43:00+00:00,0.15600164238890438,5770.01495,0,,-900.1318088085319
2017-10-29 19:44:00+00:00,-0.15600164238890438,6059.96545,0,,945.3645630200159
2017-11-15 19:43:00+00:00,-0.13085334406623852,7180.523999999999,0,,939.5955775478833
2017-11-15 20:21:00+00:00,0.13085334406623852,7251.972,0,,-948.9447872747279
2017-11-16 14:51:00+00:00,-0.12520620610554956,7427.000249999999,0,,929.906524047468
2017-11-16 14:59:00+00:00,0.12520620610554956,7500.900749999999,0,,-939.1593252817711
2017-11-19 01:44:00+00:00,-0.11799129373116175,7799.875349999998,0,,920.3173834882979
2017-11-19 13:46:00+00:00,0.11799129373116175,7749.11,0,,-914.3275141650828
2017-11-20 20:38:00+00:00,-0.11215143158697195,8243.0502,0,,924.4698805732754
2017-11-21 03:39:00+00:00,0.11215143158697195,7832.9482,0,,-878.4763541765951
2017-11-23 17:55:00+00:00,0.11888286732050352,8114.2648,0,,-964.647065621832
2017-11-24 05:57:00+00:00,-0.11888286732050352,8124.02,0,,965.806791769117
2017-12-11 13:17:00+00:00,0.059233266055305524,16281.185,0,,-964.3877628006494
2017-12-11 20:03:00+00:00,-0.059233266055305524,17099.335,0,,1012.8494594237976
2017-12-17 03:54:00+00:00,0.05296779669395738,19005.296,0,,-1006.6686546364814
2017-12-17 15:56:00+00:00,-0.05296779669395738,19150.0,0,,1014.3333066892839
2017-12-25 16:42:00+00:00,0.07430913682097516,13621.510199999999,0,,-1012.2026651601086
2017-12-26 03:57:00+00:00,-0.07430913682097516,14306.008199999998,0,,1063.0671206957925
2017-12-28 08:47:00+00:00,0.07606656981445707,13890.2,0,,-1056.5798680367716
2017-12-28 20:49:00+00:00,-0.07606656981445707,13738.0,0,,1045.0025361110113
